Record_ID,Timestamp,Container_ID,Shipment_ID,Product_Name,Origin_City,Destination_City,Temperature_C,Humidity_percentage,Vibration_Level,Travel_Distance_KM,Remaining_Distance_KM,Transit_Time_Hours,Shelf_Life_Remaining_Hours,Spoilage_Risk_percentage,Quality_Score,Product_Weight_KG,Market_Price_per_KG,Estimated_Revenue,Estimated_Loss,Arbitrage_Profit,Recommended_Action,Alert_Level
10192,11:00.7,CONT-11191,SHIP-15191,Avocado,Nagpur,Lucknow,26.17,70.23,5.06,655,318.75,10.09,120,64.49,35.51,2256,173,390288,251698.08,138589.92,Immediate Delivery,Yellow
15082,52:00.7,CONT-16081,SHIP-20081,Avocado,Pune,Delhi,22.1,49.15,3.89,1982,1120.11,36.9,72,64,36,1188,175,207900,133051.52,74848.48,Immediate Delivery,Yellow
19706,53:00.7,CONT-20705,SHIP-24705,Orange,Chennai,Mumbai,20,61.97,2.49,661,40.46,9.7,63,48.6,51.4,1286,167,214762,104367.85,110394.15,Immediate Delivery,Yellow
9630,00:00.7,CONT-10629,SHIP-14629,Orange,Nashik,Kolkata,17.28,65.4,3.11,488,201.81,7.05,60,42.95,57.05,3662,131,479722,206034.42,273687.58,Immediate Delivery,Yellow
23212,00:00.7,CONT-24211,SHIP-28211,Avocado,Nagpur,Lucknow,25.76,86.22,3.51,484,190.02,8.27,191,68.98,31.02,4754,158,751132,518124.76,233007.24,Immediate Delivery,Yellow
29069,27:00.7,CONT-30068,SHIP-34068,Avocado,Chennai,Lucknow,21.98,,5.31,892,722.97,17.84,237,55.02,44.98,3031,160,484960,266838.18,218121.82,Immediate Delivery,Yellow
15181,26:00.7,CONT-16180,SHIP-20180,Potato,Nashik,Lucknow,15.21,92.23,2.59,2197,1882.08,38.22,206,68.23,31.77,2717,93,252681,172415.74,80265.26,Immediate Delivery,Yellow
22903,17:00.7,CONT-23902,SHIP-27902,Grapes,Hyderabad,Kolkata,19.92,69.49,3.36,470,300.49,6.72,41,49.68,50.32,3636,114,414504,205923.36,208580.64,Immediate Delivery,Yellow
21100,42:00.7,CONT-22099,SHIP-26099,Apple,Chennai,Lucknow,20.98,66.91,5.26,1661,1493.31,26.66,76,62.72,37.28,3203,93,297879,186838.99,111040.01,Immediate Delivery,Yellow
23702,30:00.7,CONT-24701,SHIP-28701,Grapes,Nagpur,Kolkata,26.08,53.5,6.34,871,127.96,17.82,208,62.25,37.75,3902,156,608712,378921.88,229790.12,Immediate Delivery,Yellow
24432,14:00.7,CONT-25431,SHIP-29431,Potato,Pune,Jaipur,19.89,64.41,4.73,1602,963.86,27.85,63,60.26,39.74,2588,146,377848,227680.3,150167.7,Immediate Delivery,Yellow
17240,09:00.7,CONT-18239,SHIP-22239,Tomato,Bengaluru,Lucknow,20.91,84.87,3.23,1224,821.06,26.58,212,69.72,30.28,821,151,123971,86429.93,37541.07,Immediate Delivery,Yellow
3526,04:00.7,CONT-4525,SHIP-8525,Tomato,Nashik,Lucknow,15.43,66.48,2.81,943,795.5,14.07,179,43.9,56.1,2907,93,270351,118687.98,151663.02,Immediate Delivery,Yellow
19545,39:00.7,CONT-20544,SHIP-24544,Avocado,Nashik,Jaipur,14.98,49.65,3.16,1032,253.94,15.49,76,37.1,62.9,654,65,42510,15772.24,26737.76,Continue,Green
29293,08:00.7,CONT-30292,SHIP-34292,Tomato,Chennai,Kolkata,17.36,75.44,4.35,1938,805.25,38.4,161,65.93,34.07,1013,148,149924,98839.87,51084.13,Immediate Delivery,Yellow
19986,14:00.7,CONT-20985,SHIP-24985,Apple,Pune,Mumbai,14.29,69.67,3.98,2143,1169.54,31.91,187,53.59,46.41,4706,105,494130,264820.8,229309.2,Immediate Delivery,Yellow
5658,20:00.7,CONT-6657,SHIP-10657,Banana,Nagpur,Kolkata,22.51,65.48,2.81,1096,759.23,17.74,125,59.86,40.14,4592,167,766864,459045.62,307818.38,Immediate Delivery,Yellow
2877,23:00.7,CONT-3876,SHIP-7876,Mango,Pune,Ahmedabad,,69.04,2.82,2016,1286.94,40.35,107,64.82,35.18,4189,65,272285,176493.74,95791.26,Immediate Delivery,Yellow
3580,53:00.7,CONT-4579,SHIP-8579,Tomato,Hyderabad,Delhi,17.11,66.69,4.42,495,359.33,9.32,30,44.48,55.52,4424,150,663600,295163.92,368436.08,Immediate Delivery,Yellow
25838,13:00.7,CONT-26837,SHIP-30837,Potato,Nagpur,Delhi,22.22,51.57,4.46,2309,657.64,41.98,88,68.25,31.75,2792,148,413216,282030.67,131185.33,Immediate Delivery,Yellow
16360,21:00.7,CONT-17359,SHIP-21359,Apple,Nashik,Jaipur,18.45,68.02,3.95,1707,1429.88,33.9,85,62.44,37.56,3842,138,530196,331038.88,199157.12,Immediate Delivery,Yellow
3726,17:00.7,CONT-4725,SHIP-8725,Grapes,Hyderabad,Delhi,15.54,62.87,3.04,2211,1376.72,42.2,233,59.56,40.44,1124,106,119144,70963.66,48180.34,Immediate Delivery,Yellow
1434,19:00.7,CONT-2433,SHIP-6433,Orange,Bengaluru,Delhi,,53.56,3.08,458,202.07,7.39,71,48.57,51.43,1240,160,198400,96356.03,102043.97,Immediate Delivery,Yellow
25619,59:00.7,CONT-26618,SHIP-30618,Potato,Hyderabad,Ahmedabad,20,49.43,3.81,1923,1436.91,42.55,159,63.31,36.69,1972,56,110432,69909.18,40522.82,Immediate Delivery,Yellow
17385,39:00.7,CONT-18384,SHIP-22384,Orange,Chennai,Ahmedabad,13.25,64.37,6.11,1562,791.47,34.31,185,50.83,49.17,1234,116,143144,72759.62,70384.38,Immediate Delivery,Yellow
14603,55:00.7,CONT-15602,SHIP-19602,Orange,Chennai,Delhi,17.44,73.84,1.52,727,243.08,11.76,191,49.46,50.54,797,127,101219,50064.09,51154.91,Immediate Delivery,Yellow
22698,21:00.7,CONT-23697,SHIP-27697,Tomato,Hyderabad,Lucknow,11.61,69.39,3.72,2003,1725.24,33.38,157,49,51,4365,133,580545,284461.05,296083.95,Immediate Delivery,Yellow
3190,56:00.7,CONT-4189,SHIP-8189,Potato,Nagpur,Kolkata,22.46,77.98,4.79,2060,1255.98,44.95,230,81.09,18.91,3984,105,418320,339198.84,79121.16,Reroute,Red
3185,20:00.7,CONT-4184,SHIP-8184,Orange,Pune,Kolkata,14.94,67.43,5.51,2194,1218.75,33.22,172,54.79,45.21,2104,120,252480,138328.44,114151.56,Immediate Delivery,Yellow
9832,11:00.7,CONT-10831,SHIP-14831,Tomato,Pune,Lucknow,14.77,53.13,6.31,1127,522.09,22.7,146,42.42,57.58,1982,96,190272,80710.67,109561.33,Immediate Delivery,Yellow
3906,55:00.7,CONT-4905,SHIP-8905,Orange,Bengaluru,Ahmedabad,16.28,62.67,3.62,735,55.28,13.42,166,43.67,56.33,3079,79,243241,106228.82,137012.18,Immediate Delivery,Yellow
24586,38:00.7,CONT-25585,SHIP-29585,Grapes,Chennai,Jaipur,12.48,46.74,4.77,925,107.41,13.66,197,29.86,70.14,1043,48,50064,14947.84,35116.16,Continue,Green
19166,10:00.7,CONT-20165,SHIP-24165,Banana,Pune,Lucknow,5,77.52,1.93,2294,351.45,42.92,214,44.76,55.24,1191,142,169122,75693.41,93428.59,Immediate Delivery,Yellow
14544,28:00.7,CONT-15543,SHIP-19543,Grapes,Hyderabad,Ahmedabad,18.6,74.79,4.66,352,212.49,5.68,213,48.52,51.48,671,140,93940,45581.25,48358.75,Immediate Delivery,Yellow
6897,36:00.7,CONT-7896,SHIP-11896,Avocado,Hyderabad,Jaipur,15.09,66.12,2.64,2217,1579.18,45.14,173,61.72,38.28,4413,,617820,381290.43,236529.57,Immediate Delivery,Yellow
1973,17:00.7,CONT-2972,SHIP-6972,Banana,Hyderabad,Mumbai,31.89,74.8,4.24,1213,897.85,25.86,223,87.21,12.79,3468,141,488988,426449.6,62538.4,Reroute,Red
6146,36:00.7,CONT-7145,SHIP-11145,Banana,Nashik,Ahmedabad,9.71,47.88,3.75,1143,685.97,20.2,135,28.7,71.3,2862,159,455058,130580.56,324477.44,Continue,Green
7093,04:00.7,CONT-8092,SHIP-12092,Apple,Chennai,Mumbai,18.52,68,2.84,469,233.02,8.66,171,47.44,52.56,1168,127,148336,70374.82,77961.18,Immediate Delivery,Yellow
10921,38:00.7,CONT-11920,SHIP-15920,Banana,Pune,Lucknow,19.57,79.22,6.55,2038,1750.6,31.27,51,67.6,32.4,3573,65,232245,156990.19,75254.81,Immediate Delivery,Yellow
6238,12:00.7,CONT-7237,SHIP-11237,Avocado,Bengaluru,Jaipur,20.46,52.21,4.29,920,192.21,17.17,208,50.1,49.9,2812,99,278388,139464.53,138923.47,Immediate Delivery,Yellow
7840,00:00.7,CONT-8839,SHIP-12839,Banana,Hyderabad,Jaipur,22.72,57.25,5.09,1532,518.98,25.01,224,61.36,38.64,4627,116,536732,329317.49,207414.51,Immediate Delivery,Yellow
10723,34:00.7,CONT-11722,SHIP-15722,Avocado,Nashik,Kolkata,18.76,73.11,2.93,282,230.66,5.78,106,48.24,51.76,4169,55,229295,110603.78,118691.22,Immediate Delivery,Yellow
21421,59:00.7,CONT-22420,SHIP-26420,Apple,Pune,Delhi,22.92,,4.9,1733,321.56,26.59,168,65.55,34.45,4722,107,505254,331196.39,174057.61,Immediate Delivery,Yellow
9015,19:00.7,CONT-10014,SHIP-14014,Tomato,Chennai,Ahmedabad,11.52,70.03,3.13,742,552.49,14.24,174,37.59,62.41,2730,179,488670,183709.3,304960.7,Continue,Green
748,03:00.7,CONT-1747,SHIP-5747,Apple,Nagpur,Kolkata,,64.78,3.79,1386,410.14,30.61,137,55.81,44.19,4201,124,520924,290704.51,230219.49,Immediate Delivery,Yellow
7732,43:00.7,CONT-8731,SHIP-12731,Orange,Hyderabad,Mumbai,13.6,49.76,4.05,1606,972.15,34.66,221,45.91,54.09,1513,77,116501,53485.68,63015.32,Immediate Delivery,Yellow
1247,09:00.7,CONT-2246,SHIP-6246,Potato,Chennai,Delhi,9.74,70.2,4.23,1551,539.01,25.51,92,40.87,59.13,3499,166,580834,237405.74,343428.26,Immediate Delivery,Yellow
822,15:00.7,CONT-1821,SHIP-5821,Orange,Hyderabad,Mumbai,,57.89,1.58,2419,859.63,47.14,142,58.67,41.33,4238,89,377182,221305.53,155876.47,Immediate Delivery,Yellow
5156,41:00.7,CONT-6155,SHIP-10155,Banana,Chennai,Mumbai,14.56,63.88,4.86,415,139.24,7.76,107,37.32,62.68,1926,68,130968,48875.85,82092.15,Continue,Green
